instance optimal_length iteration path_length move_estimates
prb20800 10 94 77 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 95 59 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 96 16 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 97 51 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 98 32 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 99 115 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 100 46 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 101 47 [9,9,9,9,9,9,9,9,9,9,9,9,9,10,10]
prb20800 10 102 32 [9,9,9,9,9,9,9,9,9,9,9,9,10,10,10]
prb20800 10 103 36 [9,9,9,9,9,9,9,9,9,9,9,9,10,10,10]
prb20800 10 104 50 [9,9,9,9,9,9,9,9,9,9,9,9,10,10,10]
prb20800 10 105 21 [9,9,9,9,9,9,9,9,9,9,9,10,10,10,10]
prb20800 10 106 54 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 107 53 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 108 43 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 109 75 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 110 50 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 111 39 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 112 19 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 113 16 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 114 91 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 115 37 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 116 121 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 117 17 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 118 26 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 119 21 [9,9,9,9,9,9,9,9,9,9,10,10,10,10,10]
prb20800 10 120 36 [9,9,9,9,9,9,9,9,10,10,10,10,10,10,10]
prb20800 10 121 20 [9,9,9,9,9,9,9,9,10,10,10,10,10,10,10]
prb20800 10 122 55 [9,9,9,9,9,9,9,10,10,10,10,10,10,10,10]
prb20800 10 123 23 [9,9,9,9,9,9,10,10,10,10,10,10,10,10,10]
prb20800 10 124 39 [9,9,9,9,9,10,10,10,10,10,10,10,10,10,10]
prb20800 10 125 29 [9,9,9,9,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 126 82 [9,9,9,10,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 127 71 [9,9,10,10,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 128 119 [9,9,10,10,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 129 93 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 130 75 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]
