samples function value
237 whole-Plan-logp -2.99236692127
238 action-logp -2.76550949479
238 whole-Plan-logp -2.80985180071
239 action-logp -2.55926179216
239 whole-Plan-logp -2.9204509561
240 action-logp -2.87756353941
240 whole-Plan-logp -2.9070910696
241 action-logp -2.51630281123
241 whole-Plan-logp -2.95861164861
242 action-logp -2.75152536964
242 whole-Plan-logp -2.85605810206
243 action-logp -2.92970046365
243 whole-Plan-logp -2.89211173924
244 action-logp -2.63209757462
244 whole-Plan-logp -3.07054616452
245 action-logp -2.73222458528
245 whole-Plan-logp -2.83998601817
246 action-logp -2.60799944847
246 whole-Plan-logp -2.99264267775
247 action-logp -2.80865279338
247 whole-Plan-logp -2.85091413679
248 action-logp -2.81648197003
248 whole-Plan-logp -3.03494456871
249 action-logp -2.7477807602
249 whole-Plan-logp -2.89257670455
250 action-logp -2.68874138497
250 whole-Plan-logp -2.96747094511
251 action-logp -2.85804778564
251 whole-Plan-logp -2.89776273263
252 action-logp -2.66276958421
252 whole-Plan-logp -2.93995528558
253 action-logp -2.69122719512
253 whole-Plan-logp -3.00127309094
254 action-logp -2.65363972328
254 whole-Plan-logp -3.00561385098
255 action-logp -2.7815317888
255 whole-Plan-logp -2.81828155748
256 action-logp -2.65916262863
256 whole-Plan-logp -2.92889643017
257 action-logp -2.68758879813
257 whole-Plan-logp -2.78609974915
258 action-logp -2.85012875813
258 whole-Plan-logp -2.9428558389
259 action-logp -2.74604073739
259 whole-Plan-logp -2.74710457988
260 action-logp -2.7015562616
260 whole-Plan-logp -2.87249800219
261 action-logp -2.779434119
261 whole-Plan-logp -2.82242457738
262 action-logp -2.82156005207
262 whole-Plan-logp -2.85855467286
263 action-logp -2.53581787587
263 whole-Plan-logp -2.81151403678
264 action-logp -2.55863835141
264 whole-Plan-logp -2.94441952406
265 action-logp -2.46805110405
265 whole-Plan-logp -2.99079199456
266 action-logp -2.81463074622
266 whole-Plan-logp -2.72726363423
267 action-logp -2.89107906076
267 whole-Plan-logp -2.90454362203
268 action-logp -2.73069175868
268 whole-Plan-logp -3.01071286039
269 action-logp -2.86191864184
269 whole-Plan-logp -2.76235861586
270 action-logp -2.72086237114
270 whole-Plan-logp -2.89214765947
271 action-logp -2.89815401918
271 whole-Plan-logp -2.9226784966
272 action-logp -2.72800372041
272 whole-Plan-logp -2.94392369857
273 action-logp -2.7812944253
273 whole-Plan-logp -2.8471664501
274 action-logp -2.74525670436
274 whole-Plan-logp -2.92516165006
275 action-logp -2.61316254657
275 whole-Plan-logp -2.85786181731
276 action-logp -2.71937993979
276 whole-Plan-logp -2.87312321962
277 action-logp -2.57174521978
277 whole-Plan-logp -2.86025823815
278 action-logp -2.93900515025
278 whole-Plan-logp -2.89324493007
279 action-logp -2.77476349704
279 whole-Plan-logp -2.74674989965
280 action-logp -2.72321463053
280 whole-Plan-logp -2.86131595608
281 action-logp -2.69048762827
281 whole-Plan-logp -2.86944642499
282 action-logp -2.83536206141
282 whole-Plan-logp -2.88424981851
283 action-logp -2.74689162916
283 whole-Plan-logp -2.80297325862
284 action-logp -2.62626712085
284 whole-Plan-logp -2.91635886174
285 action-logp -2.85033519669
285 whole-Plan-logp -2.92739846917
286 action-logp -2.74951542104
286 whole-Plan-logp -2.95820843632
287 action-logp -2.69884860396
287 whole-Plan-logp -2.79938272563
288 action-logp -2.89064929844
288 whole-Plan-logp -2.86779361703
289 action-logp -2.65123278777
289 whole-Plan-logp -2.92513251937
290 action-logp -2.67088663486
290 whole-Plan-logp -2.91243296734
291 action-logp -2.64419739194
291 whole-Plan-logp -2.82034093108
292 action-logp -2.81761688561
292 whole-Plan-logp -2.94813333618
293 action-logp -2.86502187222
293 whole-Plan-logp -2.86990088876
294 action-logp -2.83149282643
294 whole-Plan-logp -2.82462677384
295 action-logp -2.70403526827
295 whole-Plan-logp -2.95692131933
296 action-logp -2.62587475723
296 whole-Plan-logp -2.89946723269
297 action-logp -2.82291262508
297 whole-Plan-logp -2.94329477085
298 action-logp -2.84183337806
298 whole-Plan-logp -2.84144182228
299 action-logp -2.82769411477
299 whole-Plan-logp -2.92575153096
