puzzle,path,generated,expanded,close,open
Jam-15,24,1505,245,245,114
Jam-15,24,1495,243,243,112
Jam-15,23,1487,242,242,106
Jam-15,24,1479,240,240,110
Jam-15,24,1436,233,233,101
Jam-15,23,1503,244,244,108
Jam-15,24,1464,238,238,107
Jam-15,24,1513,246,246,109
Jam-15,24,1469,239,239,105
Jam-15,23,1452,236,236,100
Jam-15,24,1493,243,243,111
Jam-15,24,1465,238,238,106
Jam-15,24,1436,233,233,101
Jam-15,23,1501,244,244,104
Jam-15,23,1469,238,238,106
Jam-15,23,1463,238,238,101
Jam-15,23,1484,241,241,105
Jam-15,23,1445,234,234,103
Jam-15,23,1502,244,244,109
Jam-15,24,1494,243,243,109
Jam-15,23,1476,240,240,102
Jam-15,23,1498,243,243,106
Jam-15,24,1467,238,238,111
Jam-15,24,1489,242,242,110
Jam-15,24,1448,235,235,106
Jam-15,24,1507,245,245,109
Jam-15,23,1454,236,236,104
Jam-15,24,1477,240,240,110
Jam-15,23,1452,236,236,103
Jam-15,24,1485,241,241,111
Jam-15,24,1496,243,243,110
Jam-15,24,1490,242,242,110
Jam-15,24,1477,240,240,103
Jam-15,23,1460,237,237,101
Jam-15,24,1470,239,239,106
Jam-16,26,5746,706,706,307
Jam-16,25,5611,691,691,279
Jam-16,26,5631,693,693,278
Jam-16,25,5644,693,693,286
Jam-16,25,5710,702,702,301
Jam-16,25,5558,684,684,263
Jam-16,26,5634,694,694,293
Jam-16,26,5754,708,708,297
Jam-16,26,5610,691,691,272
Jam-16,25,5655,696,696,284
Jam-16,25,5681,698,698,293
Jam-16,25,5751,707,707,305
Jam-16,25,5588,687,687,281
Jam-16,25,5713,701,701,300
Jam-16,26,5648,694,694,289
Jam-16,26,5544,684,684,265
Jam-16,26,5738,706,706,297
Jam-16,25,5690,699,699,297
Jam-16,25,5601,690,690,265
Jam-16,25,5792,710,710,320
Jam-16,25,5700,701,701,294
Jam-16,26,5714,703,703,290
Jam-16,25,5812,713,713,312
Jam-16,25,5627,692,692,282
Jam-16,26,5635,693,693,278
Jam-16,25,5713,702,702,292
Jam-16,26,5678,698,698,284
Jam-16,25,5632,694,694,278
Jam-16,26,5753,707,707,298
Jam-16,25,5682,698,698,297
Jam-16,26,5592,689,689,275
Jam-16,26,5743,706,706,295
Jam-16,26,5598,689,689,272
Jam-16,26,5641,694,694,297
Jam-16,26,5634,693,693,284
Jam-16,25,5725,704,704,301
Jam-16,25,5550,683,683,268
Jam-16,25,5691,699,699,298
Jam-16,26,5661,697,697,281
Jam-16,26,5621,692,692,284
Jam-16,26,5551,683,683,265
Jam-16,26,5621,692,692,274
Jam-16,26,5576,687,687,275
Jam-16,25,5584,687,687,275
Jam-16,25,5741,705,705,298
Jam-16,25,5591,687,687,270
Jam-16,26,5606,691,691,279
Jam-16,25,5597,688,688,269
Jam-16,25,5671,697,697,286
Jam-16,25,5664,696,696,286
Jam-16,26,5760,708,708,314
Jam-16,25,5738,705,705,304
Jam-16,25,5701,701,701,288
Jam-16,25,5645,694,694,298
Jam-16,26,5686,698,698,301
Jam-16,26,5663,696,696,298
Jam-16,26,5680,697,697,299
Jam-16,25,5570,685,685,271
Jam-16,25,5660,696,696,284
Jam-16,25,5722,703,703,292
Jam-16,25,5577,687,687,259
Jam-16,25,5577,686,686,261
Jam-16,25,5653,695,695,301
Jam-16,26,5580,687,687,271
Jam-16,25,5673,697,697,290
Jam-16,26,5623,692,692,290
Jam-16,25,5583,686,686,265
Jam-16,25,5598,688,688,280
Jam-16,26,5638,694,694,289
Jam-16,26,5543,683,683,266
Jam-16,25,5628,692,692,286
Jam-16,26,5678,699,699,285
Jam-16,26,5731,705,705,295
Jam-16,25,5674,697,697,295
Jam-16,25,5743,705,705,313
Jam-16,25,5712,702,702,293
Jam-16,25,5699,701,701,283
Jam-16,25,5696,700,700,281
Jam-16,25,5664,696,696,284
Jam-16,26,5670,698,698,299
Jam-16,26,5681,699,699,280
Jam-16,25,5609,690,690,275
Jam-16,26,5642,693,693,287
Jam-16,26,5713,702,702,292
Jam-16,26,5710,702,702,292
Jam-16,26,5727,704,704,301
Jam-16,26,5621,691,691,280
Jam-16,26,5724,703,703,311
Jam-16,25,5673,698,698,289
Jam-16,25,5823,714,714,318
Jam-16,25,5643,694,694,284
Jam-16,25,5631,692,692,287
Jam-16,25,5703,701,701,288
Jam-16,26,5613,691,691,272
Jam-16,25,5602,689,689,280
Jam-16,26,5626,692,692,289
Jam-16,26,5729,704,704,304
Jam-16,26,5725,704,704,297
Jam-16,25,5555,684,684,272
Jam-16,26,5647,695,695,281
Jam-17,28,7839,832,832,314
Jam-17,29,7754,825,825,319
Jam-17,29,7936,845,845,332
Jam-17,28,7727,820,820,280
Jam-17,29,7774,826,826,303
Jam-17,28,7903,840,840,322
Jam-17,29,7929,845,845,334
Jam-17,28,8001,851,851,320
Jam-17,28,7863,835,835,309
Jam-17,28,7725,820,820,300
Jam-17,29,7824,832,832,331
Jam-17,28,7758,824,824,308
Jam-17,29,7777,827,827,313
Jam-17,28,7862,835,835,290
Jam-17,28,7756,823,823,301
Jam-17,29,7811,831,831,307
Jam-17,29,8036,856,856,341
Jam-17,29,7871,838,838,310
Jam-17,29,7958,848,848,329
Jam-17,28,7870,836,836,302
Jam-17,29,7792,829,829,299
Jam-17,29,7997,851,851,329
Jam-17,28,7937,844,844,303
Jam-17,28,7841,833,833,310
Jam-17,29,7879,838,838,296
Jam-17,28,7878,838,838,327
Jam-17,28,7937,844,844,313
Jam-17,28,7979,849,849,335
Jam-17,28,7772,825,825,287
Jam-17,29,7867,836,836,315
Jam-17,28,7803,829,829,317
Jam-17,29,7930,844,844,320
Jam-17,29,7750,824,824,314
Jam-17,28,7989,850,850,310
Jam-17,29,7813,831,831,321
Jam-17,28,7821,832,832,294
Jam-17,28,7966,847,847,315
Jam-17,28,7892,838,838,310
Jam-17,28,7980,848,848,316
Jam-17,28,7972,848,848,315
Jam-17,28,7871,836,836,314
Jam-17,29,7751,825,825,313
Jam-17,29,7871,838,838,318
Jam-17,29,7877,838,838,336
Jam-17,28,7764,825,825,294
Jam-17,29,7923,843,843,311
Jam-17,28,7831,832,832,303
Jam-17,29,7899,841,841,309
Jam-17,28,7854,834,834,302
Jam-17,29,7919,843,843,322
Jam-17,29,7896,840,840,321
Jam-17,29,7823,831,831,309
Jam-17,28,7993,850,850,324
Jam-17,28,7708,819,819,290
Jam-17,29,7888,839,839,311
Jam-17,29,7907,842,842,329
Jam-17,28,7951,845,845,326
Jam-17,29,7907,842,842,323
Jam-17,28,7866,837,837,292
Jam-17,28,7950,845,845,322
Jam-17,28,7852,834,834,317
Jam-17,29,7767,827,827,320
Jam-17,29,7830,833,833,328
Jam-17,29,7894,840,840,342
Jam-17,29,7827,833,833,327
Jam-17,28,7983,849,849,338
Jam-17,28,7849,833,833,309
Jam-17,28,7633,810,810,271
Jam-17,29,7906,841,841,319
Jam-17,28,7939,843,843,312
Jam-17,28,7830,831,831,305
Jam-17,28,7678,815,815,278
Jam-17,28,7933,843,843,310
Jam-17,28,7978,849,849,333
Jam-17,28,7929,843,843,326
Jam-17,28,7995,849,849,323
Jam-17,29,7952,847,847,317
Jam-17,28,7773,825,825,298
Jam-17,29,7810,830,830,288
Jam-17,29,7888,840,840,307
Jam-17,28,7823,831,831,317
Jam-17,28,7742,822,822,293
Jam-17,28,7840,833,833,321
Jam-17,29,7780,827,827,329
Jam-17,28,7793,828,828,292
Jam-17,29,7940,845,845,322
Jam-17,28,7767,824,824,308
Jam-17,29,7798,830,830,324
Jam-17,28,7985,849,849,322
Jam-17,28,7772,825,825,300
Jam-17,28,8001,851,851,324
Jam-17,29,7748,823,823,310
Jam-17,28,7971,847,847,317
Jam-17,29,7781,827,827,328
Jam-17,28,7740,821,821,284
Jam-17,28,7737,822,822,281
Jam-17,29,7807,831,831,324
Jam-17,28,7980,849,849,319
Jam-17,28,8060,857,857,334
Jam-17,28,7791,828,828,305
Jam-18,28,2420,305,305,380
Jam-18,27,2389,301,301,383
Jam-18,30,2262,284,284,371
Jam-18,27,2361,296,296,393
Jam-18,30,2367,297,297,381
Jam-18,30,2331,294,294,360
Jam-18,28,2428,304,304,384
Jam-18,30,2245,281,281,368
Jam-18,26,2431,305,305,394
Jam-18,26,2315,290,290,390
Jam-18,28,2257,283,283,365
Jam-18,30,2259,283,283,369
Jam-18,28,2354,294,294,380
Jam-18,26,2417,304,304,389
Jam-18,28,2327,293,293,358
Jam-18,28,2262,284,284,365
Jam-18,30,2353,296,296,370
Jam-18,28,2343,295,295,387
Jam-18,26,2371,297,297,389
Jam-18,28,2345,295,295,374
Jam-18,27,2462,309,309,398
Jam-18,28,2363,296,296,380
Jam-18,28,2369,298,298,378
