Rec(t='1493058010.23', event='commit_move', piece='r', move_nu='6', move='(1, 2, 2)', instance='Jam-5'),8,5114,57646,18240,582
Rec(t='1493058015.77', event='commit_move', piece='y', move_nu='7', move='(3, 0, 3)', instance='Jam-5'),7,2918,34132,12328,447
Rec(t='1493058020.14', event='commit_move', piece='g', move_nu='8', move='(1, 4, 2)', instance='Jam-5'),6,924,10692,5152,236
Rec(t='1493058024.66', event='commit_move', piece='l', move_nu='9', move='(1, 5, 2)', instance='Jam-5'),5,225,2754,1653,86
Rec(t='1493058032.99', event='commit_move', piece='y', move_nu='10', move='(3, 3, 3)', instance='Jam-5'),4,42,461,298,27
Rec(t='1493058036.99', event='commit_move', piece='w', move_nu='11', move='(4, 3, 3)', instance='Jam-5'),3,16,183,130,15
Rec(t='1493058041.21', event='commit_move', piece='m', move_nu='12', move='(5, 4, 2)', instance='Jam-5'),2,3,42,37,3
Rec(t='1493058044.57', event='commit_move', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-5'),2,0,0,0,0
Rec(t='1493058356.55', event='start', piece='None', move_nu='0', move='None', instance='Jam-8'),13,121932,768570,42054,924
Rec(t='1493058378.43', event='commit_move', piece='c', move_nu='0', move='(0, 1, 2)', instance='Jam-8'),12,67310,426400,21681,924
Rec(t='1493058384.42', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-8'),11,62651,397857,28145,871
Rec(t='1493058390.35', event='commit_move', piece='M', move_nu='2', move='(4, 0, 2)', instance='Jam-8'),10,21106,144779,25451,699
Rec(t='1493058396.47', event='commit_move', piece='g', move_nu='3', move='(3, 0, 2)', instance='Jam-8'),9,9853,67507,15044,577
Rec(t='1493058399.78', event='commit_move', piece='B', move_nu='4', move='(2, 0, 2)', instance='Jam-8'),8,5620,37129,8627,484
Rec(t='1493058405.56', event='commit_move', piece='m', move_nu='5', move='(2, 3, 2)', instance='Jam-8'),8,4398,29676,6622,439
Rec(t='1493058415.52', event='commit_move', piece='r', move_nu='6', move='(3, 2, 2)', instance='Jam-8'),7,1512,10607,2803,250
Rec(t='1493058424.57', event='commit_move', piece='m', move_nu='7', move='(4, 3, 2)', instance='Jam-8'),7,1997,13565,3482,279
Rec(t='1493058429.81', event='commit_move', piece='t', move_nu='8', move='(2, 2, 2)', instance='Jam-8'),6,607,4198,1276,144
Rec(t='1493058433.54', event='commit_move', piece='o', move_nu='9', move='(2, 4, 3)', instance='Jam-8'),5,84,517,241,42
Rec(t='1493058436.43', event='commit_move', piece='w', move_nu='10', move='(2, 5, 3)', instance='Jam-8'),4,16,82,43,13
Rec(t='1493058442.26', event='commit_move', piece='m', move_nu='11', move='(3, 3, 2)', instance='Jam-8'),3,7,34,19,7
Rec(t='1493058446.61', event='commit_move', piece='y', move_nu='12', move='(5, 3, 3)', instance='Jam-8'),2,1,4,4,1
Rec(t='1493058448.8', event='commit_move', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-8'),2,0,0,0,0
