Rec(t='1489783978.4', event='commit_move', piece='c', move_nu='15', move='(2, 0, 2)', instance='Jam-14') 8
Rec(t='1489783980.69', event='commit_move', piece='r', move_nu='16', move='(2, 2, 2)', instance='Jam-14') 9
Rec(t='1489783981.95', event='commit_move', piece='p', move_nu='17', move='(2, 3, 2)', instance='Jam-14') 10
Rec(t='1489783983.9', event='commit_move', piece='g', move_nu='18', move='(1, 0, 2)', instance='Jam-14') 10
Rec(t='1489783986.26', event='commit_move', piece='B', move_nu='19', move='(0, 0, 2)', instance='Jam-14') 9
Rec(t='1489783988.32', event='commit_move', piece='r', move_nu='20', move='(0, 2, 2)', instance='Jam-14') 8
Rec(t='1489783989.58', event='commit_move', piece='p', move_nu='21', move='(0, 3, 2)', instance='Jam-14') 7
Rec(t='1489783990.98', event='commit_move', piece='o', move_nu='22', move='(2, 2, 2)', instance='Jam-14') 6
Rec(t='1489783993.38', event='commit_move', piece='w', move_nu='23', move='(0, 4, 2)', instance='Jam-14') 5
Rec(t='1489783995.23', event='commit_move', piece='y', move_nu='24', move='(0, 5, 2)', instance='Jam-14') 5
Rec(t='1489783997.03', event='commit_move', piece='o', move_nu='25', move='(2, 4, 2)', instance='Jam-14') 4
Rec(t='1489783998.28', event='commit_move', piece='l', move_nu='26', move='(4, 4, 2)', instance='Jam-14') 3
Rec(t='1489784000.2', event='commit_move', piece='m', move_nu='27', move='(5, 4, 2)', instance='Jam-14') 2
Rec(t='1489784001.71', event='win', piece='r', move_nu='28', move='(4, 2, 2)', instance='Jam-14') 2
Rec(t='1489782954.44', event='start', piece='None', move_nu='0', move='None', instance='Jam-8') 13
Rec(t='1489783020.86', event='commit_move', piece='c', move_nu='0', move='(0, 1, 2)', instance='Jam-8') 13
Rec(t='1489783023.31', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-8') 11
Rec(t='1489783042.99', event='commit_move', piece='B', move_nu='2', move='(2, 0, 2)', instance='Jam-8') 10
Rec(t='1489783045.31', event='commit_move', piece='t', move_nu='3', move='(2, 2, 2)', instance='Jam-8') 11
Rec(t='1489783047.84', event='commit_move', piece='o', move_nu='4', move='(2, 4, 3)', instance='Jam-8') 12
Rec(t='1489783049.48', event='commit_move', piece='w', move_nu='5', move='(2, 5, 3)', instance='Jam-8') 11
Rec(t='1489783052.61', event='commit_move', piece='g', move_nu='6', move='(3, 0, 2)', instance='Jam-8') 10
Rec(t='1489783054.43', event='commit_move', piece='M', move_nu='7', move='(4, 0, 2)', instance='Jam-8') 9
Rec(t='1489783056.95', event='commit_move', piece='m', move_nu='8', move='(3, 3, 2)', instance='Jam-8') 8
Rec(t='1489783070.37', event='commit_move', piece='o', move_nu='9', move='(3, 4, 3)', instance='Jam-8') 7
Rec(t='1489783074.66', event='commit_move', piece='w', move_nu='10', move='(3, 5, 3)', instance='Jam-8') 8
Rec(t='1489783078.44', event='commit_move', piece='t', move_nu='11', move='(2, 4, 2)', instance='Jam-8') 7
Rec(t='1489783080.61', event='commit_move', piece='r', move_nu='12', move='(3, 2, 2)', instance='Jam-8') 6
Rec(t='1489783082.86', event='commit_move', piece='t', move_nu='13', move='(2, 2, 2)', instance='Jam-8') 5
Rec(t='1489783084.29', event='commit_move', piece='o', move_nu='14', move='(2, 4, 3)', instance='Jam-8') 4
Rec(t='1489783085.71', event='commit_move', piece='w', move_nu='15', move='(2, 5, 3)', instance='Jam-8') 3
Rec(t='1489783087.48', event='commit_move', piece='y', move_nu='16', move='(5, 3, 3)', instance='Jam-8') 2
Rec(t='1489783088.38', event='win', piece='r', move_nu='17', move='(4, 2, 2)', instance='Jam-8') 2
Rec(t='1489783090.61', event='start', piece='None', move_nu='0', move='None', instance='Jam-9') 13
Rec(t='1489783116.74', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-9') 12
Rec(t='1489783118.41', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-9') 11
Rec(t='1489783120.18', event='commit_move', piece='w', move_nu='2', move='(0, 3, 3)', instance='Jam-9') 10
Rec(t='1489783122.45', event='commit_move', piece='B', move_nu='3', move='(3, 4, 2)', instance='Jam-9') 9
Rec(t='1489783123.61', event='commit_move', piece='r', move_nu='4', move='(2, 2, 2)', instance='Jam-9') 8
Rec(t='1489783126.36', event='commit_move', piece='w', move_nu='5', move='(1, 3, 3)', instance='Jam-9') 8
Rec(t='1489783158.11', event='commit_move', piece='o', move_nu='6', move='(0, 1, 3)', instance='Jam-9') 8
Rec(t='1489783159.66', event='commit_move', piece='b', move_nu='7', move='(1, 1, 2)', instance='Jam-9') 7
Rec(t='1489783164.85', event='commit_move', piece='c', move_nu='8', move='(1, 0, 2)', instance='Jam-9') 6
Rec(t='1489783166.67', event='commit_move', piece='M', move_nu='9', move='(3, 0, 2)', instance='Jam-9') 5
Rec(t='1489783168.4', event='commit_move', piece='g', move_nu='10', move='(3, 1, 2)', instance='Jam-9') 4
Rec(t='1489783170.85', event='commit_move', piece='l', move_nu='11', move='(5, 0, 2)', instance='Jam-9') 3
Rec(t='1489783172.15', event='commit_move', piece='y', move_nu='12', move='(4, 3, 3)', instance='Jam-9') 2
Rec(t='1489783173.35', event='win', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-9') 2
Rec(t='1489784231.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-17') 28
Rec(t='1489784240.15', event='commit_move', piece='c', move_nu='0', move='(1, 1, 2)', instance='Jam-17') 27
Rec(t='1489784241.87', event='commit_move', piece='o', move_nu='1', move='(3, 1, 3)', instance='Jam-17') 26
Rec(t='1489784243.28', event='commit_move', piece='l', move_nu='2', move='(4, 2, 2)', instance='Jam-17') 25
Rec(t='1489784244.89', event='commit_move', piece='m', move_nu='3', move='(5, 2, 2)', instance='Jam-17') 24
Rec(t='1489784246.75', event='commit_move', piece='w', move_nu='4', move='(3, 4, 3)', instance='Jam-17') 23
Rec(t='1489784248.35', event='commit_move', piece='p', move_nu='5', move='(3, 5, 3)', instance='Jam-17') 22
Rec(t='1489784249.69', event='commit_move', piece='B', move_nu='6', move='(2, 4, 2)', instance='Jam-17') 21
Rec(t='1489784250.94', event='commit_move', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-17') 20
Rec(t='1489784253.29', event='commit_move', piece='g', move_nu='8', move='(1, 3, 2)', instance='Jam-17') 19
Rec(t='1489784255.91', event='commit_move', piece='b', move_nu='9', move='(0, 4, 2)', instance='Jam-17') 18
Rec(t='1489784257.74', event='commit_move', piece='r', move_nu='10', move='(0, 2, 2)', instance='Jam-17') 17
Rec(t='1489784258.94', event='commit_move', piece='g', move_nu='11', move='(0, 3, 2)', instance='Jam-17') 16
Rec(t='1489784263.26', event='commit_move', piece='B', move_nu='12', move='(2, 2, 2)', instance='Jam-17') 15
Rec(t='1489784265.08', event='commit_move', piece='w', move_nu='13', move='(1, 4, 3)', instance='Jam-17') 14
Rec(t='1489784266.8', event='commit_move', piece='p', move_nu='14', move='(1, 5, 3)', instance='Jam-17') 14
Rec(t='1489784286.17', event='commit_move', piece='c', move_nu='15', move='(0, 1, 2)', instance='Jam-17') 13
Rec(t='1489784289.99', event='commit_move', piece='y', move_nu='16', move='(3, 0, 3)', instance='Jam-17') 11
Rec(t='1489784291.47', event='commit_move', piece='B', move_nu='17', move='(2, 0, 2)', instance='Jam-17') 10
Rec(t='1489784292.66', event='commit_move', piece='r', move_nu='18', move='(1, 2, 2)', instance='Jam-17') 9
Rec(t='1489784293.66', event='commit_move', piece='g', move_nu='19', move='(1, 3, 2)', instance='Jam-17') 8
Rec(t='1489784294.93', event='commit_move', piece='b', move_nu='20', move='(0, 2, 2)', instance='Jam-17') 7
Rec(t='1489784296.66', event='commit_move', piece='w', move_nu='21', move='(0, 4, 3)', instance='Jam-17') 6
Rec(t='1489784297.88', event='commit_move', piece='p', move_nu='22', move='(0, 5, 3)', instance='Jam-17') 5
Rec(t='1489784299.29', event='commit_move', piece='o', move_nu='23', move='(3, 3, 3)', instance='Jam-17') 4
Rec(t='1489784301.53', event='commit_move', piece='l', move_nu='24', move='(4, 3, 2)', instance='Jam-17') 3
Rec(t='1489784303.06', event='commit_move', piece='m', move_nu='25', move='(5, 3, 2)', instance='Jam-17') 2
