Rec(t='1490036962.82', event='commit_move', piece='w', move_nu='4', move='(4, 3, 3)', instance='Jam-5') 5
Rec(t='1490036963.91', event='commit_move', piece='m', move_nu='5', move='(5, 3, 2)', instance='Jam-5') 4
Rec(t='1490036964.91', event='commit_move', piece='M', move_nu='6', move='(0, 3, 3)', instance='Jam-5') 3
Rec(t='1490036966.23', event='commit_move', piece='y', move_nu='7', move='(3, 3, 3)', instance='Jam-5') 2
Rec(t='1490036967.03', event='win', piece='r', move_nu='8', move='(4, 2, 2)', instance='Jam-5') 2
Rec(t='1490037997.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-14') 18
Rec(t='1490038056.27', event='commit_move', piece='g', move_nu='0', move='(1, 1, 2)', instance='Jam-14') 17
Rec(t='1490038057.85', event='commit_move', piece='B', move_nu='1', move='(0, 1, 2)', instance='Jam-14') 16
Rec(t='1490038058.95', event='commit_move', piece='p', move_nu='2', move='(0, 3, 2)', instance='Jam-14') 15
Rec(t='1490038059.68', event='commit_move', piece='o', move_nu='3', move='(2, 3, 2)', instance='Jam-14') 14
Rec(t='1490038062.15', event='commit_move', piece='y', move_nu='4', move='(4, 5, 2)', instance='Jam-14') 13
Rec(t='1490038067.19', event='commit_move', piece='o', move_nu='5', move='(2, 4, 2)', instance='Jam-14') 12
Rec(t='1490038068.71', event='commit_move', piece='p', move_nu='6', move='(2, 3, 2)', instance='Jam-14') 11
Rec(t='1490038069.86', event='commit_move', piece='g', move_nu='7', move='(1, 4, 2)', instance='Jam-14') 10
Rec(t='1490038071.04', event='commit_move', piece='B', move_nu='8', move='(0, 4, 2)', instance='Jam-14') 9
Rec(t='1490038077.93', event='commit_move', piece='r', move_nu='9', move='(0, 2, 2)', instance='Jam-14') 8
Rec(t='1490038079.84', event='commit_move', piece='p', move_nu='10', move='(0, 3, 2)', instance='Jam-14') 7
Rec(t='1490038080.96', event='commit_move', piece='c', move_nu='11', move='(2, 2, 2)', instance='Jam-14') 6
Rec(t='1490038083.39', event='commit_move', piece='M', move_nu='12', move='(0, 1, 2)', instance='Jam-14') 5
Rec(t='1490038084.26', event='commit_move', piece='c', move_nu='13', move='(2, 0, 2)', instance='Jam-14') 4
Rec(t='1490038085.15', event='commit_move', piece='l', move_nu='14', move='(4, 0, 2)', instance='Jam-14') 3
Rec(t='1490038085.96', event='commit_move', piece='m', move_nu='15', move='(5, 0, 2)', instance='Jam-14') 2
Rec(t='1490038086.85', event='win', piece='r', move_nu='16', move='(4, 2, 2)', instance='Jam-14') 2
Rec(t='1490037082.24', event='start', piece='None', move_nu='0', move='None', instance='Jam-8') 14
Rec(t='1490037096.74', event='commit_move', piece='c', move_nu='0', move='(0, 1, 2)', instance='Jam-8') 13
Rec(t='1490037097.91', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-8') 11
Rec(t='1490037098.91', event='commit_move', piece='B', move_nu='2', move='(2, 0, 2)', instance='Jam-8') 10
Rec(t='1490037099.81', event='commit_move', piece='g', move_nu='3', move='(3, 0, 2)', instance='Jam-8') 9
Rec(t='1490037106.53', event='commit_move', piece='M', move_nu='4', move='(4, 0, 2)', instance='Jam-8') 8
Rec(t='1490037123.07', event='commit_move', piece='t', move_nu='5', move='(2, 2, 2)', instance='Jam-8') 9
Rec(t='1490037124.57', event='commit_move', piece='o', move_nu='6', move='(2, 4, 3)', instance='Jam-8') 10
Rec(t='1490037125.29', event='commit_move', piece='w', move_nu='7', move='(2, 5, 3)', instance='Jam-8') 9
Rec(t='1490037126.39', event='commit_move', piece='m', move_nu='8', move='(3, 3, 2)', instance='Jam-8') 8
Rec(t='1490037176.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-8') 14
Rec(t='1490037218.5', event='commit_move', piece='c', move_nu='0', move='(0, 1, 2)', instance='Jam-8') 12
Rec(t='1490037220.22', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-8') 11
Rec(t='1490037223.17', event='commit_move', piece='B', move_nu='2', move='(2, 0, 2)', instance='Jam-8') 10
Rec(t='1490037224.85', event='commit_move', piece='t', move_nu='3', move='(2, 2, 2)', instance='Jam-8') 11
Rec(t='1490037229.62', event='commit_move', piece='o', move_nu='4', move='(2, 4, 3)', instance='Jam-8') 12
Rec(t='1490037230.34', event='commit_move', piece='w', move_nu='5', move='(2, 5, 3)', instance='Jam-8') 11
Rec(t='1490037233.81', event='commit_move', piece='g', move_nu='6', move='(3, 1, 2)', instance='Jam-8') 11
Rec(t='1490037235.19', event='commit_move', piece='m', move_nu='7', move='(3, 3, 2)', instance='Jam-8') 10
Rec(t='1490037236.78', event='commit_move', piece='y', move_nu='8', move='(5, 3, 3)', instance='Jam-8') 11
Rec(t='1490037273.17', event='start', piece='None', move_nu='0', move='None', instance='Jam-8') 13
Rec(t='1490037299.03', event='start', piece='None', move_nu='0', move='None', instance='Jam-9') 13
Rec(t='1490037311.98', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-9') 12
Rec(t='1490037314.23', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-9') 11
Rec(t='1490037315.25', event='commit_move', piece='w', move_nu='2', move='(0, 3, 3)', instance='Jam-9') 10
Rec(t='1490037328.14', event='commit_move', piece='B', move_nu='3', move='(3, 4, 2)', instance='Jam-9') 9
