subject, instance, optimal_length, human_length, complete, rt,nodes_expanded, skipped, trial_number
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25001,999,3,False,14738.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb22491,999,2,False,33701.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb21755,999,3,False,16886.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb78717,999,2,False,12580.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb78717,999,2,False,173470.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,1,False,0.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,2,False,185202.0,999,False,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,2,False,120116.0,999,False,2
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,2,False,180727.0,999,False,3
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,2,False,286937.0,999,False,4
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb20888,999,1,False,0.0,999,True,5
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb39948,999,3,False,10446.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb38725,999,2,False,73575.0,999,True,0
